Product URL,Image URL,SKUs,Product Name,
https://all4pet.co.il/product/taste-of-the-wild-טייסט-אוף-דה-ווילד-136-קג-מזון-יבש-ללא-דגנים-לכלבים-גורים-בטעם-סלמון-פסיפיק-סטרים-פאפי,https://www.all4pet.co.il/images/itempics/074198611171_small.jpg,"0, 74198611171","לא פעיל !!!!! טייסט אוף דה ווילד גורים דג סלמון 12.2 ק""ג",
,,1,לא פעיל חול ציפורים ויטפול,
,,"1, 1819",מיטת טריקסי דאבין אפור קרם 50*40,
,,2,לא פעיל חול צ'נצ'ילה ויטפול,
,,3,לא פעיל מקל דבש לאב בירד ויטפול,
,,4,לא פעיל מקל דבש צ'ינצ'ילה ויטפול,
,,5,לא פעיל מקל דבש מכרסמים ויטפול,
,,6,לא פעיל מקל דבש קוקטיל ויטפול,
,,7,כדור טניס קטן,
,,8,לא פעיל כף צרכים לחתול אמיתי,
,,9,לא פעיל חבל דנטלי שני קשרים גדול,
,,"11, 18214814535",עצם דנטלית ניילבון מנטה,
,,"12, 18214813705","עצם דנטלית בב""ק ניילבון",
,,"13, 18214807995",עצם דנטלית בייקון ניילבון,
,,"14, 18214808046",עצם דנטלית רענן ניילבון,
,,"15, 18214805472","עצם דנטלית תפו""א",
,,"16, 18214814313",נוטרידנט קטן,
,,"17, 18214814320",נוטרידנט בינוני,
,,"18, 18214814337",נוטרידנט גדול,
,,19,לא פעיל ארגז צרכים פתוח לחתול,
,,"20, 8021799844967",ארגז צרכים פתוח לחתול גדול JERRY,
,,21,לא פעיל חכה לחתול,
,,"22, 7290005193651",שקית קטניפ לחתול,
,,23,לא פעיל גרב צעצועים לחתול,
,,25,לא פעיל לא פעיל,
,,30,"לא פעיל קולר עור 40 מ""מ ניטים",
,,31,"לא פעיל קולר ניילון 40 מ""מ",
,,33,"קולר עור 25 מ""מ לקשירה ניטים",
,,34,לא פעיל קולר עור לקשירה ניטים אמיתי,
,,35,"קולר ניילון 15 מ""מ",
,,36,לא פעיל קולר חתול מחזיר אור,
,,37,קולר לחתול צבעוני,
,,38,תג לשם פלסטיק,
,,39,פעמון צבעוני לקולר,
,,40,גומיה קטנה לצינור,
,,41,"לא פעיל רצועה + קולר  קליפס 10 מ""מ",
,,42,"קולר + רצועה 10 מ""מ צבעוני",
,,43,לא פעיל מיטה+מזרון דידו 50,
,,44,מיטה+מזרון דידו 65,
,,45,מיטה+מזרון דידו 80,
,,46,מיטה+מזרון דידו 95,
,,47,לא פעיל פילטר חיצוני טטרה 1200,
,,48,לא פעיל חטיף סליקי בטעמים 120 גרם,
,,49,לא פעיל עצם בפאלו מעושנת,
,,"50, 7290002262176",חטיף בקר בשקית אישית,
,,51,חטיף שריר צבעוני 5 יח',
,,"52, 7290100302392",המבורגר מצפצף לטקס,
,,"53, 7290005193170",שק מצפצף לטקס,
,,54,לא פעיל כדור מצפצף גדול,
,,"55, 7290005193729",כדור עם רגלים מצפצף לטקס,
,,"56, 7290005193729",חטיף שריר עבה,
,,57,נקנקיה עוף,
,,58,בייגלה עוף,
,,"59, 8021799965105","בקבוק שתיה למכרסמים 330 מ""ל",
,,"60, 8021799964108","בקבוק שתיה למכרסמים 150 מ""ל",
,,65,בסקוויט קונג,
,,70,לא פעיל קונג גדול שחור,
,,71,לא פעיל אבן מינרלים לצפור ויטפול,
,,72,לא פעיל אבן מינרלים למכרסמים ויטפול,
,,73,לא פעיל ח,
,,75,לא פעיל דג זהב,
,,76,"לא פעיל שימורים לכלב ד""ר פט",
,,77,בסקוויט בוגנה 200 גר,
,,81,חבל דנטלי עם כדור טניס,
,,83,לא פעיל מלט בייטס סלומון,
,,84,לא פעיל מלט בייטס היירבול,
,,"85, 8711231116379",מלט בייטס קטניפ,
,,86,לא פעיל גלילי מילוי לאיסוף צרכים,
,,87,לא פעיל משטח גירוד לחתול,
,,88,לא פעיל רצועה קלועה ג'מבו,
,,91,לא פעיל מברשת דו שימושית עגולה,
,,92,לא פעיל פריזבי מרובע,
,,95,צלחת פריזבי עם כדור טניס,
,,97,נדנדה משולשת לתוכי,
,,98,לא פעיל קונג חטיפים,
,,99,נדנדת חבל לתוכי,
,,100,לא פעיל דנטלי קונג גדול,
,,"101, 7290005193545",מברשת סטטית להורדת שיער,
,,"102, 7290002262565",עצם גומי גדולה,
,,103,לא פעיל כדור קוצים מצפצף,
,,"104, 20046",קולר חצי חונק ניילון,
,,105,"לא פעיל סט ניילון 25 מ""מ צבעוני",
,,106,"סט ניילון 20 מ""מ צבעוני",
,,107,"לא פעיל קולר עור מרופד ניטים 10 מ""מ",
,,108,"קולר עור מרופד ניטים 15 מ""מ",
,,"109, 15561823272",תוסף בריאות לכנרים,
,,"110, 15561823135",תוסף שירה לכנרים,
,,"111, 15561822336",תוסף צבע לתוכים,
,,112,לא פעיל תוסף נגד נשירה לתוכים,
,,"113, 15561824279",תוסף בריאות לפינק,
,,"114, 15561826426",פרו מיקס פרמיום תוכי גדול,
,,"115, 15561610032",פרו מיקס פרמיום מכרסמים,
,,"116, 22517714638",פסי לעיסה בטעמים DODIT,
,,"117, 80605804005",מזון פרמיום קוקוטל,
,,118,לא פעיל מזון פרמיום לקוניור,
,,119,קופון 50,
,,"120, 22517708330",קוצץ צפורנים מקצועי האגן,
,,"121, 22517502907",מברשת לחתול האגן,
,,"122, 22517709504",מברשת גומי האגן,
https://www.anipet.co.il/product/23039/%D7%95%D7%A8%D7%A1%D7%9C%D7%94-%D7%9C%D7%92%D7%94-%D7%A7%D7%A8%D7%99%D7%A1%D7%A4%D7%99-%D7%9E%D7%95%D7%96%D7%9C%D7%99-%D7%90%D7%A7%D7%A1%D7%A4%D7%A8%D7%98-%D7%9C%D7%90%D7%95%D7%92%D7%A8,https://cdn.modulus.co.il/anipet/123.png?width=100&height=100&mode=pad&format=png&v=5&output=webp,"123, 5410340617212",ורסלה לגה קריספי מוזלי אקספרט אוגר 1 קילו,
,,124,לא פעיל משאבת אויר RS-610,
,,"125, 5410340222713",מקל דבש תוכונים פרסטיג',
https://www.gag-lachayot.co.il/product/%d7%a7%d7%99%d7%a7%d7%99-%d7%9e%d7%a7%d7%9c%d7%95%d7%aa-%d7%93%d7%91%d7%a9-%d7%a4%d7%99%d7%a8%d7%95%d7%aa-%d7%90%d7%a7%d7%96%d7%95%d7%98%d7%99%d7%99%d7%9d-%d7%9c%d7%aa%d7%95%d7%9b%d7%99-%d7%92%d7%93/,https://www.gag-lachayot.co.il/wp-content/uploads/2020/07/זוג-מקלות-דבש-ופירות-אקזוטיים-לתוכי-גדול-100x100.jpg,"126, 8420717031357",KIKI מקלות פירות לתוכים גדולים 150 גרם,
,,127,"לא פעיל מזרן רגיעה דו עונתי 90 ס""מ",
,,128,מזרן דו צדדי זברה 50X75,
,,129,לא פעיל מזרן דו צדדי זברה 90X60,
