קוד פריט ,ברקוד ,תאור פריט 
123,5410340617212,ורסלה לגה קריספי מוזלי אקספרט אוגר 1 קילו
174,7290012139826,"מאצ'ו ארנב 1 ק""ג"
384,7290000805580,בונזו בשר 17 קילו
459,,אוזן פרה
491,,מימוש פריט במנוי
865,3182550771061,רויאל קנין רפואי לכלב גסטרו אינטסטינל 7.5 קילו
890,3182550939829,רויאל קנין רפואי לכלב היפואלרגני 7 קילו
901,3182550859554,רויאל קנין רפואי לחתול יורינרי 7 קילו
1236,815260006019,גו! לכלב סנסטיביטיס LID נטול דגנים סלמון 2.7 קילו
1329,35585131313,קונג S לגורים KP‏3
1496,6923553200526,צ'אנקיז חטיף נקניקיות 80 גרם
1497,,אלפא ספיריט דגים 200 גרם
1499,6923553200533,צ'אנקיז ביסקוויט עטוף בעוף 80 גרם
1501,6923553200632,צ'אנקיז מיני סושי רך 80 גרם
1503,6923553200601,צ'אנקיז מקלות עוף וגבינה 80 גרם
1504,6923553200557,צ'אנקיז חטיף רך בצורת כפות רגליים 80 גרם
1506,6923553200311,צ'אנקיז פילה עוף מיובש 80 גרם
1507,6923553200694,צ'אנקיז צ'יפס עוף 80 גרם
1508,6923553200595,צ'אנקיז נגיסי סלמון  80 גרם
1510,6923553200649,צ'אנקיז מקלות עוף 80 גרם
1511,6923553200625,צ'אנקיז כריכוני דגים ועוף 80 גרם
1512,6923553200427,צ'אנקיז גליליות עור דג עטופות עוף 80 גרם
1513,6923553200359,צ'אנקיז פילה ברווז מיובש 80 גרם
1533,50000429844,פנסי פיסט הודו ונתחי עוף 85 גרם
1534,50000429448,פנסי פיסט מוס סלומון 85 גרם
1536,50000434640,פנסי פיסט נתחי לבבות עוף וכבד 85 גרם
1537,50000429646,פנסי פיסט דגי אוקינוס וטונה 85 גרם
1544,855958006556,אינאבה שלוקים לחתול צ'ורו טונה 4 יח 56 גרם
1547,855958006563,אינאבה שלוקים לחתול צ'ורו טונה ועוף 4 יח 56 גרם
1549,855958006594,אינאבה שלוקים לחתול צ'ורו עם צדפות 4 יח 56 גרם
1550,855958006532,אינאבה FILLET עוף לחתול בטעם טבעי 25 גרם
1551,855958006624,אינאבה FILLET עוף לחתול בטעם צדפות 25 גרם
1552,855958006471,אינאבה FILLET טונה לחתול בטעם טבעי 25 גרם
1556,855958006518,אינאבה FILLET טונה לחתול בטעם אקסטרה 25 גרם
1557,855958006648,אינאבה FILLET טונה לחתול בטעם שרימפס 25 גרם
1638,777979700148,חול פרקטיקט 14 קג
1839,611745297459,"עצם ביגלה 5"" 150 גרם PETEX"
1858,52742025865,הילס מזון לכלב בוגר כבש ואורז 14 קילו
1867,52742026152,הילס מזון לכלב סניור בינוני כבש ואורז 14 קילו
1876,52742026091,"הילס מזון לכלב בוגר עור רגיש ,קיבה רגישה 14 קילו"
1879,52742024363,הילס מזון לחתול גור עוף 3 קילו
1915,6942133302207,עלה דנטלי מיני 90 גרם (12 יחידות) DENTAL BONE
1916,6942133302238,עלה דנטלי מארז חמישיה 90 גרם DENTAL BONE
1949,,דמי משלוח
1998,52742037417,הילס C/D רפואי לחתול יורינרי סטרס+מטבוליק 8 קילו
2003,52742026855,הילס רפואי לכלב GI BIOME גסטרואינטסטינל 10 קילו
2004,52742037394,הילס C/D רפואי לכלב מולטיקייר יורינרי+מטבוליק 12 ק
2232,,אלפא ספיריט גורים 200 גרם
2261,52742038704,הילס דרם קומפליט רפואי לכלב 12 קילו
2371,52742043760,הילס K/D רפואי לחתול 3 קילו
2388,6942133310097,ויטל פייבר חטיף דנטלי דבש זרעי שומר ותפוז 80 ג
2398,52742042206,הילס C/D רפואי לחתול 3 קילו
2408,,"צנצנת חטיפי רצועות סטייק 1 ק""ג סופר פט"
2426,35585775630,קונג כדור ספורט בינוני ABS‏2
2450,7290117440339,כדור טניס אדום / צהוב 1.9 אינץ (קטן) פטקס
2597,,פריט כללי WOLT
2731,2731,"מזון לחתול ג'ורג'י דלישס 18 ק""ג"
6050,6050,לפי משקל - רויאל קנין פיט
6552,74198614226,"טייסט אופ דה ווילד לכלב ברווז בר טרי 12.2 ק""ג"
9999,,עצם
10000,,פריט כללי
11112,11112,דג זהב
11113,11113,"מיקס דגים (12ש""ח)"
11116,11116,"מיקס דגים (18ש""ח)"
11117,11117,"מיקס דגים (29ש""ח)"
11118,11118,"מיקס דגים (35ש""ח)"
11119,11119,"מיקס דגים (39ש""ח)"
11127,11127,"מיקס דגים (7ש""ח)"
11128,11128,דג קרב
11130,11130,דג קרב מהודר
39104,52742040424,הילס Z/D רפואי לכלב 3 קילו
39121,52742868806,הילס T/D רפואי לחתול 1.5 קילו
55881,55881,מתנה לכלב - חטיף
55882,55882,מתנה לכלב - חטיף היפואלרגני
86255,3182550786225,רויאל קנין חתול מבוגר אייג'ינג 12+ 4 קילו
88233,4008239288233,חטיפי בייטס לחתולים בטעם סלמון VITAKRAFT
91033,91033,צעצוע תפזורת חתול דרם כדור נוצה
99194,99194,צעצוע תפזורת חתול דרם כדור מרשרש פסים
102020,,עצם חזיר מעושנת M
102040,,"עצם בטטה S דנטלית 12ס""מ"
121212,,מזון ארוז מיקס 1 קילו
393250,,"אמפולה בודדת אדוונטיקס לכלב 10-25 ק""ג"
555503,,מועדון לקוחות הצטרפות
729011,729011,חטיף טוויסט דנטלי בטעמים שונים Dreams of Dogs (תפזורת)
923814,923814,הדברה פרונטליין ריסוס
949909,949909,לקרס חטיף נוזלי לחתול בטעמים שונים (תפזורת)
1265642,7290001265642,לה קט מארז מיקס לחתול 400*3
5560323,5560323,אספסת טרייה למכרסמים 345 גרם (ללא ברקוד)
7290111,7290111,חטיף עצם דנטלי בטעמים שונים Dreams of Dogs (תפזורת)
8411820,7290008411820,שימורי דר פט חתול דגי אוקיאנוס בג'לי 400 גרם
8411844,7290008411844,שימורי דר פט חתול טונה ועוף בג'לי 400 גרם
10182110,10182110,בקבוק דרינקי קטן (פיש)
12139567,7290012139567,בונזו ג'וי ביסקוויט עוף לכלב 90 גר
18386675,7290018386675,אורבן צ'ויס מעדן לחתול פילה טונה ודיונון 85 גרם
18386682,7290018386682,אורבן צ'ויס מעדן לחתול פילה טונה ודלעת 85 גרם
18386705,7290018386705,אורבן צ'ויס מעדן לחתול פילה טונה ולברק 85 גרם
18386729,7290018386729,אורבן צ'ויס מעדן לחתול פילה טונה ודג לבן 85 גרם
45367238,45367238,ווימזיס חטיפים דנטליים לכלב בתפזורת
48000001,48000001,חטיף FOODIES נתחי ברווז רכים 100 גרם
48000012,48000012,חטיף FOODIES מגולגל ברווז ועור בקר 100 גרם
48000015,48000015,חטיף FOODIES גלילת כבש אורז ועור בקר 100 גרם
